hscode,hscode_desc,val_01,vol_01,val_02,vol_02,val_03,vol_03,val_04,vol_04,val_05,vol_05,val_06,vol_06,val_07,vol_07,val_08,vol_08,val_09,vol_09,val_10,vol_10,val_11,vol_11,val_12,vol_12
303490000,"Oth tunas, excl.fillets,livers & roes,",0,0,0,0,0,0,0,0,"46,280","52,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
303530000,"Sardines, sardinella, brisling or sparts","817,470","1,229,310","827,360","1,194,290","753,508","1,247,174","1,218,307","1,874,900","1,357,933","2,174,780","1,424,270","2,127,354","437,296","586,010","715,499","985,792","534,154","777,200","202,942","352,220","958,393","1,535,480","2,696,061","4,317,899"
303540010,"Mackerel, excl.fillets, livers and roes,","299,401","203,105","185,119","131,065","946,565","575,696","186,446","104,837","584,839","357,543","620,999","369,357","379,260","266,873","525,869","373,122","311,913","371,539","483,745","576,455","855,628","743,555","598,157","564,362"
303540020,"Pacific mackerel, excl.fillets, livers","111,062","129,003","1,586,151","2,093,152","3,697,446","4,608,670","3,306,594","4,286,885","3,546,634","4,359,702","2,663,524","3,318,682","2,424,894","2,944,668","4,444,876","5,513,740","2,784,843","3,573,295","4,656,871","5,868,820","6,430,150","7,996,228","5,122,714","6,212,571"
303570000,"Swordfish (xiphias gladius),","178,530","23,804","1,374,590","198,797","1,899,570","253,276","1,967,618","262,349","2,662,681","355,024","3,050,858","406,781",0,0,0,0,"993,330","132,444","199,350","26,580","505,307","100,967","460,500","61,400"
303630000,"Cod (gadus morhua, ogac, macrocephalu) ,","210,900","8,618","217,685","8,936",0,0,"208,278","8,304",0,0,"233,545","9,504",0,0,"458,378","18,514",0,0,"136,435","5,419","818,587","32,859","353,050","13,609"
303650000,"Coalfish, excl.fillets, livers and roes,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,036",46,"1,374",27
303660000,"Hake, excl.fillets, livers & roes,frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,50,"3,437",76
303670000,"Alaska Pollack, excl.fillets, livers and",161,6,578,22,412,16,"3,835",931,492,20,"5,032","1,381",0,0,390,16,602,18,"1,049",36,636,25,280,10
303690000,"Other marine fish, excl.fillets, livers","6,104",366,"7,871",505,"11,068",542,"9,731","1,106","6,374",348,"11,648","1,145","8,166",448,"38,481","1,517","12,929",726,"10,495",566,"13,421",556,"72,819","20,089"
303810000,"Dogfish and other sharks, excl.fillets,","89,930","8,108",0,0,"104,187","8,042","99,351","25,547","120,244","8,718","137,478","46,740","68,511","8,418",0,0,"59,598","10,890","70,272","4,800","126,176","9,616","73,663","5,931"
303830000,"Toothfish (dissostichus spp.),",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,"13,578",452
303840000,"Seabass, excl.fillets, livers and roes,",0,0,0,0,"6,940",260,0,0,0,0,0,0,0,0,"8,407",262,0,0,0,0,0,0,0,0
303891510,"Indian mackarel, excl.fillets, livers","119,848","132,500","98,649","109,610","170,442","167,000","346,656","358,600","641,539","706,700","343,039","374,800","373,185","385,300","489,444","536,925","676,217","702,930","882,152","876,720","1,150,253","1,011,770","971,266","889,635"
303891520,"Island mackarel, excl.fillets, livers","2,512",94,"3,808",184,605,17,508,13,159,4,642,17,827,6,"1,733",75,"1,010",38,39,4,"7,227",336,"2,689",120
303891600,"Torpedo scads,spotted sicklefish&great",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"46,440","51,600","43,560","48,400",0,0,0,0,0,0
303891800,"Mangrove red snappers, excl.fillets,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62,343","7,631","50,718","8,040"
303891910,"Kerapu(cromilepte altivelis,epinephelus)",0,0,0,0,0,0,0,0,0,0,"1,063",850,"2,062","14,000","2,669","18,000","14,258","1,719",0,0,"25,370","3,221",0,0
303891990,"Other marine fish, excl.fillets, livers","26,630","11,622","91,325","37,999","97,469","25,943","9,167",260,"384,456","396,984","179,719","160,369","83,522","75,415","30,621","11,309","120,136","66,172","35,315","28,627","173,957","72,764","91,100","61,367"
303892900,"Other fish, not marine fish,","42,365","3,061","391,725","150,580","232,535","208,807","1,674",99,"122,728","104,066","128,825","104,842","280,522","38,099","44,594","2,588","138,536","104,864",461,34,733,49,"194,998","33,327"
303902000,"Roes of fish, frozen","36,782","2,650",368,12,"2,980",499,"2,022",368,258,8,200,6,202,6,"29,288","1,776","1,543",191,"111,558","4,067",424,16,"2,201",273
304390000,"Carp, eels and snakeheads fillets",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,357","3,440",0,0,0,0,"90,815","10,582"
304410000,"Fillets of Pacific, Atlantic and",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,600","2,000",0,0,0,0,0,0,0,0
304490000,"Fillets of other fish, fresh or chilled","66,649","7,795",0,0,0,0,0,0,"23,100","7,202",0,0,0,0,"151,576","19,050","105,955","12,777",0,0,"71,878","8,981",0,0
304590000,"Other fish meat (whether or not minced),",0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304610000,"Tilapias fillets, frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"145,941","20,090"
